Channel,Gain,Time (sec),Time (hr),Well,AFU,uM,Excitation,Emission
GFP,61,0,0.0,A1,14,0.01238390092879257,485,515
GFP,61,0,0.0,A2,15,0.01326846528084918,485,515
GFP,61,0,0.0,A3,15,0.01326846528084918,485,515
GFP,61,0,0.0,A4,8,0.007076514816452897,485,515
GFP,61,0,0.0,A5,15,0.01326846528084918,485,515
GFP,61,0,0.0,A6,1,0.0008845643520566122,485,515
GFP,61,0,0.0,A7,14,0.01238390092879257,485,515
GFP,61,0,0.0,A8,16,0.014153029632905795,485,515
GFP,61,0,0.0,A9,8,0.007076514816452897,485,515
GFP,61,0,0.0,A10,1,0.0008845643520566122,485,515
GFP,61,0,0.0,B1,13,0.011499336576735958,485,515
GFP,61,0,0.0,B2,16,0.014153029632905795,485,515
GFP,61,0,0.0,B3,9,0.00796107916850951,485,515
GFP,61,0,0.0,B4,14,0.01238390092879257,485,515
GFP,61,0,0.0,B5,10,0.008845643520566122,485,515
GFP,61,0,0.0,B6,13,0.011499336576735958,485,515
GFP,61,0,0.0,B7,14,0.01238390092879257,485,515
GFP,61,0,0.0,B8,16,0.014153029632905795,485,515
GFP,61,0,0.0,B9,12,0.010614772224679346,485,515
GFP,61,0,0.0,B10,6,0.005307386112339673,485,515
GFP,61,0,0.0,C1,10,0.008845643520566122,485,515
GFP,61,0,0.0,C2,18,0.01592215833701902,485,515
GFP,61,0,0.0,C3,2,0.0017691287041132243,485,515
GFP,61,0,0.0,C4,10,0.008845643520566122,485,515
GFP,61,0,0.0,C5,12,0.010614772224679346,485,515
GFP,61,0,0.0,C6,2,0.0017691287041132243,485,515
GFP,61,0,0.0,C7,14,0.01238390092879257,485,515
GFP,61,0,0.0,C8,13,0.011499336576735958,485,515
GFP,61,0,0.0,C9,17,0.015037593984962405,485,515
GFP,61,0,0.0,C10,5,0.004422821760283061,485,515
GFP,61,0,0.0,D1,17,0.015037593984962405,485,515
GFP,61,0,0.0,D2,9,0.00796107916850951,485,515
GFP,61,0,0.0,D3,6,0.005307386112339673,485,515
GFP,61,0,0.0,D4,14,0.01238390092879257,485,515
GFP,61,0,0.0,D5,11,0.009730207872622732,485,515
GFP,61,0,0.0,D6,9,0.00796107916850951,485,515
GFP,61,0,0.0,D7,12,0.010614772224679346,485,515
GFP,61,0,0.0,D8,9,0.00796107916850951,485,515
GFP,61,0,0.0,D9,12,0.010614772224679346,485,515
GFP,61,0,0.0,D10,4,0.0035382574082264487,485,515
GFP,61,0,0.0,E1,22,0.019460415745245464,485,515
GFP,61,0,0.0,E2,9,0.00796107916850951,485,515
GFP,61,0,0.0,E3,11,0.009730207872622732,485,515
GFP,61,0,0.0,E4,13,0.011499336576735958,485,515
GFP,61,0,0.0,E5,10,0.008845643520566122,485,515
GFP,61,0,0.0,E6,11,0.009730207872622732,485,515
GFP,61,0,0.0,E7,0,0.0,485,515
GFP,61,0,0.0,E8,12,0.010614772224679346,485,515
GFP,61,0,0.0,E9,14,0.01238390092879257,485,515
GFP,61,0,0.0,E10,0,0.0,485,515
GFP,61,0,0.0,F1,17,0.015037593984962405,485,515
GFP,61,0,0.0,F2,11,0.009730207872622732,485,515
GFP,61,0,0.0,F3,14,0.01238390092879257,485,515
GFP,61,0,0.0,F4,11,0.009730207872622732,485,515
GFP,61,0,0.0,F5,11,0.009730207872622732,485,515
GFP,61,0,0.0,F6,2,0.0017691287041132243,485,515
GFP,61,0,0.0,F7,8,0.007076514816452897,485,515
GFP,61,0,0.0,F8,11,0.009730207872622732,485,515
GFP,61,0,0.0,F9,3,0.0026536930561698365,485,515
GFP,61,0,0.0,F10,5,0.004422821760283061,485,515
GFP,61,0,0.0,G1,14,0.01238390092879257,485,515
GFP,61,0,0.0,G2,5,0.004422821760283061,485,515
GFP,61,0,0.0,G3,3,0.0026536930561698365,485,515
GFP,61,0,0.0,G4,4,0.0035382574082264487,485,515
GFP,61,0,0.0,G5,3,0.0026536930561698365,485,515
GFP,61,0,0.0,G6,1,0.0008845643520566122,485,515
GFP,61,0,0.0,G7,6,0.005307386112339673,485,515
GFP,61,0,0.0,G8,4,0.0035382574082264487,485,515
GFP,61,0,0.0,G9,3,0.0026536930561698365,485,515
GFP,61,0,0.0,G10,2,0.0017691287041132243,485,515
GFP,61,300,0.08333333333333333,A1,10,0.008845643520566122,485,515
GFP,61,300,0.08333333333333333,A2,8,0.007076514816452897,485,515
GFP,61,300,0.08333333333333333,A3,7,0.006191950464396285,485,515
GFP,61,300,0.08333333333333333,A4,11,0.009730207872622732,485,515
GFP,61,300,0.08333333333333333,A5,15,0.01326846528084918,485,515
GFP,61,300,0.08333333333333333,A6,12,0.010614772224679346,485,515
GFP,61,300,0.08333333333333333,A7,10,0.008845643520566122,485,515
GFP,61,300,0.08333333333333333,A8,12,0.010614772224679346,485,515
GFP,61,300,0.08333333333333333,A9,8,0.007076514816452897,485,515
GFP,61,300,0.08333333333333333,A10,0,0.0,485,515
GFP,61,300,0.08333333333333333,B1,15,0.01326846528084918,485,515
GFP,61,300,0.08333333333333333,B2,6,0.005307386112339673,485,515
GFP,61,300,0.08333333333333333,B3,9,0.00796107916850951,485,515
GFP,61,300,0.08333333333333333,B4,8,0.007076514816452897,485,515
