Channel,Gain,Time (sec),Time (hr),Well,AFU,uM,Excitation,Emission
OD600,-1,145,0.04027777777777778,A1,0.082,0.082,600,-1
OD600,-1,145,0.04027777777777778,A2,0.083,0.083,600,-1
OD600,-1,145,0.04027777777777778,A3,0.082,0.082,600,-1
OD600,-1,145,0.04027777777777778,A4,0.085,0.085,600,-1
OD600,-1,145,0.04027777777777778,A5,0.1,0.1,600,-1
OD600,-1,145,0.04027777777777778,A6,0.086,0.086,600,-1
OD600,-1,145,0.04027777777777778,A7,0.088,0.088,600,-1
OD600,-1,145,0.04027777777777778,A8,0.084,0.084,600,-1
OD600,-1,145,0.04027777777777778,A9,0.086,0.086,600,-1
OD600,-1,145,0.04027777777777778,A10,0.083,0.083,600,-1
OD600,-1,145,0.04027777777777778,A11,0.09,0.09,600,-1
OD600,-1,145,0.04027777777777778,A12,0.084,0.084,600,-1
OD600,-1,145,0.04027777777777778,B1,0.086,0.086,600,-1
OD600,-1,145,0.04027777777777778,B2,0.085,0.085,600,-1
OD600,-1,145,0.04027777777777778,B3,0.084,0.084,600,-1
OD600,-1,145,0.04027777777777778,B4,0.085,0.085,600,-1
OD600,-1,145,0.04027777777777778,B5,0.085,0.085,600,-1
OD600,-1,145,0.04027777777777778,B6,0.087,0.087,600,-1
OD600,-1,145,0.04027777777777778,B7,0.088,0.088,600,-1
OD600,-1,145,0.04027777777777778,B8,0.085,0.085,600,-1
OD600,-1,145,0.04027777777777778,B9,0.088,0.088,600,-1
OD600,-1,145,0.04027777777777778,B10,0.084,0.084,600,-1
OD600,-1,145,0.04027777777777778,B11,0.085,0.085,600,-1
OD600,-1,145,0.04027777777777778,B12,0.084,0.084,600,-1
OD600,-1,145,0.04027777777777778,C1,0.087,0.087,600,-1
OD600,-1,145,0.04027777777777778,C2,0.084,0.084,600,-1
OD600,-1,145,0.04027777777777778,C3,0.089,0.089,600,-1
OD600,-1,145,0.04027777777777778,C4,0.087,0.087,600,-1
OD600,-1,145,0.04027777777777778,C5,0.084,0.084,600,-1
OD600,-1,145,0.04027777777777778,C6,0.085,0.085,600,-1
OD600,-1,145,0.04027777777777778,C7,0.089,0.089,600,-1
OD600,-1,145,0.04027777777777778,C8,0.092,0.092,600,-1
OD600,-1,145,0.04027777777777778,C9,0.084,0.084,600,-1
OD600,-1,145,0.04027777777777778,C10,0.089,0.089,600,-1
OD600,-1,145,0.04027777777777778,C11,0.087,0.087,600,-1
OD600,-1,145,0.04027777777777778,C12,0.084,0.084,600,-1
OD600,-1,145,0.04027777777777778,D1,0.088,0.088,600,-1
OD600,-1,145,0.04027777777777778,D2,0.086,0.086,600,-1
OD600,-1,145,0.04027777777777778,D3,0.087,0.087,600,-1
OD600,-1,145,0.04027777777777778,D4,0.087,0.087,600,-1
OD600,-1,145,0.04027777777777778,D5,0.086,0.086,600,-1
OD600,-1,145,0.04027777777777778,D6,0.087,0.087,600,-1
